City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
333,Kudahuvadhoo,MV,81.28,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
336,Vao,NC,80.89,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
354,Piacabucu,BR,78.21,clear sky,-10.4056,-36.4344,Piaçabuçu News
362,Carutapera,BR,75.67,overcast clouds,-1.195,-46.02,Lidera
366,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
369,Port Lincoln,AU,79.56,clear sky,-34.7333,135.8667,Port Lincoln Hotel
377,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
378,Atambua,ID,83.93,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
379,Jussara,BR,76.96,clear sky,-23.6214,-52.4694,Big hotel e Restaurante e hambugueria
384,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
386,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
388,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
405,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
407,Banda Aceh,ID,77.9,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
408,Prado,BR,76.06,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
409,Soe,ID,81.66,scattered clouds,-9.8607,124.284,Dena Hotel
410,Acarau,BR,78.48,clear sky,-2.8856,-40.12,castelo pizzaria
411,Imbituba,BR,75.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
413,Sao Joao Da Barra,BR,76.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
419,Salinopolis,BR,77.67,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
424,Bubaque,GW,76.44,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
426,Pathein,MM,80.08,scattered clouds,16.7833,94.7333,Pathein Hotel
427,Tabou,CI,78.89,overcast clouds,4.423,-7.3528,hotêl doufoulougou
431,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
463,Kokoda,PG,87.15,overcast clouds,-8.8785,147.7407,Daito Guest House
470,Sao Jose Da Coroa Grande,BR,79.48,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
485,Maningrida,AU,89.24,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
488,Muisne,EC,75.76,light rain,0.6,-80.0333,Quinta Samay
492,Ciudad Bolivar,VE,78.55,scattered clouds,8.1222,-63.5497,Hotel Edi
493,Port-Gentil,GA,79.66,scattered clouds,-0.7193,8.7815,Fengshui Residence
500,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
501,Waingapu,ID,86.88,few clouds,-9.6567,120.2641,Pondok Wisata Elim
502,Remanso,BR,77.14,broken clouds,-9.6179,-42.0831,Hotel Mangueira
503,Curumani,CO,78.08,broken clouds,9.1999,-73.5427,Hotel Mayumir
508,San-Pedro,CI,78.37,overcast clouds,4.7485,-6.6363,Hotel Maria
515,Assai,BR,76.86,broken clouds,-23.3733,-50.8414,Árvore Menor
522,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
536,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
537,Buala,SB,86.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
539,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
545,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
553,Bahia De Caraquez,EC,77.18,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
554,Sibolga,ID,84.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
555,Trat,TH,86.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
560,Garissa,KE,76.5,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
569,Sainte-Marie,RE,78.93,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
573,Kampong Thum,KH,87.08,scattered clouds,12.7111,104.8887,Sambor Village Hotel
583,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
586,Caucaia,BR,81.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
587,Kirakira,SB,85.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
591,Tutoia,BR,84.18,clear sky,-2.7619,-42.2744,Pousada Guará's
597,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
599,Auki,SB,84.31,light rain,-8.7676,160.7034,Auki Motel
606,Ballina,AU,75.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
609,Nabire,ID,82.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
623,Ambunti,PG,88.34,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
626,Kieta,PG,86.86,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
627,Aracaju,BR,80.55,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
631,Nieuw Nickerie,SR,78.19,light rain,5.95,-56.9833,Ishwardat Inn
645,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
674,Itarema,BR,78.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
678,Mananjary,MG,75.99,overcast clouds,-21.2167,48.3333,Vahiny Lodge
