City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
131,Port Alfred,ZA,-33.5906,26.891,72.93,79,82,4.97,broken clouds
132,Bluff,NZ,-46.6,168.3333,60.8,66,0,13.38,clear sky
133,Kavaratti,IN,10.5669,72.642,77.65,67,14,6.93,few clouds
134,Oktyabrskoye,RU,43.0645,44.7417,26.74,93,99,4.47,overcast clouds
135,Fortuna,US,40.5982,-124.1573,50.18,93,0,0.0,clear sky
136,Chara,RU,56.9064,118.2631,0.77,79,68,1.41,broken clouds
137,Wanaka,NZ,-44.7,169.15,71.11,45,100,3.0,overcast clouds
138,Matara,LK,5.9485,80.5353,80.56,73,100,4.47,overcast clouds
139,Belmonte,BR,-15.8631,-38.8828,79.3,85,40,6.11,scattered clouds
140,Esmeraldas,BR,-19.7625,-44.3139,70.11,98,100,1.79,moderate rain
141,Pisco,PE,-13.7,-76.2167,67.01,94,40,5.75,scattered clouds
142,Haines Junction,CA,60.7522,-137.5108,39.15,41,32,14.97,scattered clouds
143,Shelburne,CA,44.0787,-80.2041,27.05,71,100,15.41,overcast clouds
144,Tazovskiy,RU,67.4667,78.7,-25.37,100,90,2.39,overcast clouds
145,Tuy Hoa,VN,13.0833,109.3,77.32,82,75,6.78,broken clouds
146,Oum Hadjer,TD,13.2954,19.6966,63.48,15,1,9.75,clear sky
147,Winnemucca,US,40.973,-117.7357,42.85,36,0,3.44,clear sky
148,Mogadishu,SO,2.0371,45.3438,76.87,83,40,14.97,scattered clouds
149,Grevena,GR,40.0845,21.4274,48.16,91,14,2.66,few clouds
150,Voh,NC,-20.9667,164.7,81.63,88,100,13.73,overcast clouds
151,Huarmey,PE,-10.0681,-78.1522,71.37,78,100,6.38,overcast clouds
152,Longyearbyen,SJ,78.2186,15.6401,19.24,68,0,5.75,clear sky
153,Hirara,JP,24.8,125.2833,70.07,60,75,17.27,broken clouds
154,Nelson Bay,AU,-32.7167,152.15,77.29,58,41,4.0,scattered clouds
155,Beruwala,LK,6.4788,79.9828,78.73,76,93,5.26,overcast clouds
156,Burnie,AU,-41.0667,145.9167,71.94,52,0,9.8,clear sky
157,Merauke,ID,-8.4667,140.3333,86.92,63,77,7.47,broken clouds
158,Ust-Maya,RU,60.4167,134.5333,-18.51,91,89,1.92,overcast clouds
159,Baykit,RU,61.67,96.37,-6.72,99,49,2.98,scattered clouds
160,Tibu,CO,8.639,-72.7358,71.73,94,50,2.59,scattered clouds
161,Erzin,TR,36.9559,36.2,38.12,73,0,3.89,clear sky
162,Korla,CN,41.7597,86.1469,25.38,43,57,3.33,broken clouds
163,Andilamena,MG,-17.0167,48.5833,64.08,96,98,5.86,overcast clouds
164,Worland,US,44.0169,-107.9554,31.55,65,0,1.99,clear sky
165,Kendari,ID,-3.945,122.4989,84.56,73,77,11.16,heavy intensity rain
166,Narsaq,GL,60.9167,-46.05,8.82,82,100,5.57,light snow
167,Saskylakh,RU,71.9167,114.0833,-27.18,100,93,4.09,overcast clouds
168,Kruisfontein,ZA,-34.0033,24.7314,69.69,65,0,4.56,clear sky
169,Shenjiamen,CN,29.9576,122.298,45.28,85,100,17.52,light rain
170,Adrar,MR,20.5022,-10.0711,63.27,11,2,9.82,clear sky
171,Vaini,TO,-21.2,-175.2,77.16,100,100,11.5,moderate rain
172,Georgetown,MY,5.4112,100.3354,82.89,80,20,1.01,few clouds
173,Jalu,LY,29.0331,21.5482,55.08,34,2,7.09,clear sky
174,Buchanan,LR,5.8808,-10.0467,77.54,87,90,5.46,light rain
175,Drayton Valley,CA,53.2168,-114.9854,39.9,83,99,9.15,overcast clouds
176,Cidreira,BR,-30.1811,-50.2056,68.22,74,8,7.81,clear sky
177,Sitka,US,57.0531,-135.33,44.49,76,100,8.05,overcast clouds
178,Hongjiang,CN,27.11,109.9956,36.32,94,100,3.29,overcast clouds
179,Loandjili,CG,-4.7561,11.8578,75.31,94,20,4.61,few clouds
180,Beringovskiy,RU,63.05,179.3167,-13.88,94,17,5.17,few clouds
181,Labuhan,ID,-6.8844,112.2051,81.77,81,100,16.89,overcast clouds
182,Baft,IR,29.234,56.6057,33.46,82,1,3.44,clear sky
183,Nome,US,64.5011,-165.4064,-3.93,54,0,17.27,clear sky
184,Zdvinsk,RU,54.7021,78.661,-8.28,99,85,5.12,overcast clouds
185,Cherskiy,RU,68.75,161.3,-27.85,100,25,1.28,scattered clouds
186,Luganville,VU,-15.5333,167.1667,85.08,74,100,8.52,light rain
187,Faanui,PF,-16.4833,-151.75,81.01,75,100,20.13,light rain
188,Hasaki,JP,35.7333,140.8333,48.29,34,6,7.05,clear sky
189,Laguna,US,38.421,-121.4238,59.5,64,0,4.61,clear sky
190,Veraval,IN,20.9,70.3667,64.94,70,5,6.93,clear sky
191,Surt,LY,31.2089,16.5887,58.28,44,86,4.7,overcast clouds
192,Dauriya,RU,49.9333,116.8667,5.32,95,71,5.3,broken clouds
193,Zhuhai,CN,22.2769,113.5678,65.71,94,40,11.5,scattered clouds
194,Sola,VU,-13.8833,167.55,82.92,80,100,20.38,light rain
